Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,Ward,Parish,Introduced,Terminated,Altitude,Country,Last Updated,Quality,LSOA Code,LSOA Name,LSOA Code 2021,LSOA Name 2021
KW15 1FZ,No,58.979297,-2.968112,344446,1010641,HY444106,Kirkwall West and Orphir,,2018-07-01,2019-03-01,8,Scotland,2024-05-24,Imputed by ONS by reference to surrounding postcode grid references,S01011820,West Kirkwall - 03,,West Kirkwall - 03
KW15 1GA,Yes,58.981306,-2.954906,345208,1010854,HY452108,Kirkwall East,,1993-02-01,,17,Scotland,2024-05-24,Within the building of the matched address closest to the postcode mean,S01011825,East Kirkwall - 03,,East Kirkwall - 03
KW15 1GB,No,58.983311,-2.960721,344877,1011082,HY448110,Kirkwall West and Orphir,,1994-10-01,2018-12-01,5,Scotland,2024-05-24,Within the building of the matched address closest to the postcode mean,S01011821,West Kirkwall - 04,,West Kirkwall - 04
KW15 1GD,Yes,58.988999,-2.978210,343881,1011730,HY438117,Kirkwall West and Orphir,,1995-12-01,,23,Scotland,2024-05-24,Within the building of the matched address closest to the postcode mean,S01011817,East Mainland - 05,,East Mainland - 05
KW15 1GE,Yes,58.990279,-2.974053,344122,1011869,HY441118,Kirkwall West and Orphir,,1997-06-01,,13,Scotland,2024-05-24,Within the building of the matched address closest to the postcode mean,S01011817,East Mainland - 05,,East Mainland - 05
KW15 1GF,Yes,58.981299,-2.954912,345208,1010853,HY452108,Kirkwall West and Orphir,,2023-05-01,,11,Scotland,2024-05-24,Within the building of the matched address by visual inspection of Landline maps,S01011825,East Kirkwall - 03,,East Kirkwall - 03
KW15 1GG,Yes,58.993723,-2.975856,344024,1012254,HY440122,Kirkwall West and Orphir,,2005-10-01,,6,Scotland,2024-05-24,Within the building of the matched address closest to the postcode mean,S01011817,East Mainland - 05,,East Mainland - 05
KW15 1GH,Yes,58.977807,-2.961768,344808,1010470,HY448104,Kirkwall West and Orphir,,1995-12-01,,7,Scotland,2024-05-24,Within the building of the matched address closest to the postcode mean,S01011819,West Kirkwall - 02,,West Kirkwall - 02
KW15 1GJ,Yes,58.989250,-2.977173,343941,1011757,HY439117,Kirkwall West and Orphir,,1997-06-01,,21,Scotland,2024-05-24,Within the building of the matched address closest to the postcode mean,S01011817,East Mainland - 05,,East Mainland - 05
KW15 1GL,Yes,58.988688,-2.975400,344042,1011693,HY440116,Kirkwall West and Orphir,,1997-06-01,,21,Scotland,2024-05-24,Within the building of the matched address closest to the postcode mean,S01011817,East Mainland - 05,,East Mainland - 05
KW15 1GN,Yes,58.987207,-2.970753,344307,1011524,HY443115,Kirkwall West and Orphir,,1997-06-01,,9,Scotland,2024-05-24,Within the building of the matched address closest to the postcode mean,S01011817,East Mainland - 05,,East Mainland - 05
KW15 1GP,Yes,58.988950,-2.974230,344110,1011721,HY441117,Kirkwall West and Orphir,,1997-06-01,,17,Scotland,2024-05-24,Within the building of the matched address closest to the postcode mean,S01011817,East Mainland - 05,,East Mainland - 05
KW15 1GQ,Yes,58.985320,-2.941678,345975,1011290,HY459112,Kirkwall East,,2014-09-01,,28,Scotland,2024-05-24,Within the building of the matched address closest to the postcode mean,S01011816,East Mainland - 04,,East Mainland - 04
KW15 1GR,Yes,58.987876,-2.974698,344081,1011602,HY440116,Kirkwall West and Orphir,,1997-06-01,,18,Scotland,2024-05-24,Within the building of the matched address closest to the postcode mean,S01011817,East Mainland - 05,,East Mainland - 05
KW15 1GS,Yes,58.985248,-2.942963,345901,1011283,HY459112,Kirkwall East,,2015-03-01,,30,Scotland,2024-05-24,Within the building of the matched address closest to the postcode mean,S01011816,East Mainland - 04,,East Mainland - 04
KW15 1GT,Yes,58.989026,-2.971077,344291,1011727,HY442117,Kirkwall West and Orphir,,1999-12-01,,9,Scotland,2024-05-24,Within the building of the matched address closest to the postcode mean,S01011817,East Mainland - 05,,East Mainland - 05
KW15 1GU,Yes,58.983016,-2.961687,344821,1011050,HY448110,Kirkwall West and Orphir,,2007-07-01,,4,Scotland,2024-05-24,Within the building of the matched address closest to the postcode mean,S01011821,West Kirkwall - 04,,West Kirkwall - 04
KW15 1GW,Yes,58.979233,-2.966835,344519,1010633,HY445106,Kirkwall West and Orphir,,2011-06-01,,5,Scotland,2024-05-24,Within the building of the matched address closest to the postcode mean,S01011820,West Kirkwall - 03,,West Kirkwall - 03
KW15 1GY,Yes,58.981735,-2.961465,344832,1010907,HY448109,Kirkwall West and Orphir,,2009-07-01,,6,Scotland,2024-05-24,Within the building of the matched address closest to the postcode mean,S01011822,West Kirkwall - 05,,West Kirkwall - 05
KW15 1GZ,Yes,58.982822,-2.957628,345054,1011025,HY450110,Kirkwall East,,2007-11-01,,9,Scotland,2024-05-24,Within the building of the matched address closest to the postcode mean,S01011825,East Kirkwall - 03,,East Kirkwall - 03
