Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,Ward,Parish,Introduced,Terminated,Altitude,Country,Last Updated,Quality,LSOA Code,LSOA Name,LSOA Code 2021,LSOA Name 2021
KW16 3DE,Yes,58.959782,-3.301617,325232,1008794,HY252087,Stromness and South Isles,,1980-01-01,,17,Scotland,2024-05-24,Within the building of the matched address closest to the postcode mean,S01011804,"Stromness, Sandwick and Stenness - 01",,"Stromness, Sandwick and Stenness - 01"
KW16 3DN,Yes,58.954433,-3.300380,325292,1008197,HY252081,Stromness and South Isles,,1980-01-01,,8,Scotland,2024-05-24,Within the building of the matched address closest to the postcode mean,S01011804,"Stromness, Sandwick and Stenness - 01",,"Stromness, Sandwick and Stenness - 01"
KW16 3HD,Yes,58.962175,-3.113577,336052,1008865,HY360088,Kirkwall West and Orphir,,1980-01-01,,21,Scotland,2024-05-24,Within the building of the matched address closest to the postcode mean,S01011809,West Mainland - 02,,West Mainland - 02
KW16 3HU,Yes,58.998816,-3.303429,325213,1013142,HY252131,Stromness and South Isles,,1980-01-01,,36,Scotland,2024-05-24,Within the building of the matched address closest to the postcode mean,S01011807,"Stromness, Sandwick and Stenness - 04",,"Stromness, Sandwick and Stenness - 04"
KW16 3JN,Yes,58.962333,-3.307842,324880,1009085,HY248090,Stromness and South Isles,,1980-01-01,,50,Scotland,2024-05-24,Within the building of the matched address closest to the postcode mean,S01011806,"Stromness, Sandwick and Stenness - 03",,"Stromness, Sandwick and Stenness - 03"
KW16 3LY,Yes,59.063233,-3.318339,324498,1020331,HY244203,West Mainland,,1980-01-01,,46,Scotland,2024-05-24,Within the building of the matched address closest to the postcode mean,S01011807,"Stromness, Sandwick and Stenness - 04",,"Stromness, Sandwick and Stenness - 04"
KW16 3PG,Yes,58.799060,-3.200258,330741,990790,ND307907,Stromness and South Isles,,1980-01-01,,9,Scotland,2024-05-24,Within the building of the matched address closest to the postcode mean,S01011827,Isles - 01,,Isles - 01
KW17 2DE,Yes,59.252742,-2.870343,350463,1041012,HY504410,North Isles,,1980-01-01,,22,Scotland,2024-05-24,Within the building of the matched address closest to the postcode mean,S01011832,Isles - 06,,Isles - 06
KW17 2DP,Yes,59.290396,-2.976982,344443,1045289,HY444452,North Isles,,1980-01-01,,26,Scotland,2024-05-24,Within the building of the matched address closest to the postcode mean,S01011832,Isles - 06,,Isles - 06
KW17 2EL,Yes,59.008093,-3.121172,335701,1013985,HY357139,West Mainland,,1980-01-01,,18,Scotland,2024-05-24,Within the building of the matched address closest to the postcode mean,S01011808,West Mainland - 01,,West Mainland - 01
KW17 2EX,Yes,59.050764,-3.070038,338714,1018688,HY387186,West Mainland,,1980-01-01,,9,Scotland,2024-05-24,Within the building of the matched address closest to the postcode mean,S01011810,West Mainland - 03,,West Mainland - 03
KW17 2JG,Yes,59.072093,-3.286564,326339,1021282,HY263212,West Mainland,,1980-01-01,,22,Scotland,2024-05-24,Within the building of the matched address closest to the postcode mean,S01011811,West Mainland - 04,,West Mainland - 04
KW17 2LG,Yes,59.058553,-3.218499,330213,1019701,HY302197,West Mainland,,1980-01-01,,13,Scotland,2024-05-24,Within the building of the matched address closest to the postcode mean,S01011810,West Mainland - 03,,West Mainland - 03
KW17 2PB,Yes,59.054256,-3.018943,341651,1019031,HY416190,West Mainland,,1980-01-01,,27,Scotland,2024-05-24,Within the building of the matched address closest to the postcode mean,S01011812,West Mainland - 05,,West Mainland - 05
KW17 2SJ,No,58.826208,-2.956542,344867,993586,ND448935,"East Mainland, South Ronaldsay and Burray",,1980-01-01,2018-02-01,7,Scotland,2024-05-24,Within the building of the matched address closest to the postcode mean,S01011828,Isles - 02,,Isles - 02
KW17 2WD,No,58.983196,-2.960509,344889,1011069,HY448110,Kirkwall West and Orphir,,2008-03-01,2009-04-01,5,Scotland,2024-05-24,Within the building of the matched address closest to the postcode mean,S01011821,West Kirkwall - 04,,West Kirkwall - 04
